falhas_chamada,reclamacoes,tempo_assinatura,valor_cobrado,segundos_uso,freq_uso,freq_sms,numeros_dist_chamados,plano,situacao,idade,valor_cliente,cancelamento
8,0,38,0,4370,71,5,17,Pré-Pago,Ativo,30,19764,Não Cancelou
0,0,39,0,318,5,7,4,Pré-Pago,Inativo,25,46035,Não Cancelou
10,0,37,0,2453,60,359,24,Pré-Pago,Ativo,30,153652,Não Cancelou
10,0,38,0,4198,66,1,35,Pré-Pago,Ativo,15,24002,Não Cancelou
3,0,38,0,2393,58,2,33,Pré-Pago,Ativo,15,145805,Não Cancelou
11,0,38,1,3775,82,32,28,Pré-Pago,Ativo,30,28228,Não Cancelou
4,0,38,0,2360,39,285,18,Pré-Pago,Ativo,30,123596,Não Cancelou
13,0,37,2,9115,121,144,43,Pré-Pago,Ativo,30,94544,Não Cancelou
7,0,38,0,13773,169,0,44,Pré-Pago,Ativo,30,55768,Não Cancelou
7,0,38,1,4515,83,2,25,Pré-Pago,Ativo,30,19192,Não Cancelou
6,0,38,0,5918,95,7,12,Pré-Pago,Ativo,30,26852,Não Cancelou
9,0,38,0,2238,54,8,17,Pré-Pago,Inativo,30,12368,Não Cancelou
25,0,38,3,15140,225,54,32,Pré-Pago,Ativo,30,8306,Não Cancelou
4,0,38,1,3095,27,483,8,Pré-Pago,Ativo,30,205688,Não Cancelou
9,0,37,0,15485,182,150,30,Pré-Pago,Ativo,25,1380015,Não Cancelou
3,0,37,1,6500,86,186,26,Pré-Pago,Ativo,30,100744,Não Cancelou
0,0,37,0,875,14,0,11,Pré-Pago,Inativo,25,40005,Cancelou
2,0,38,0,710,14,13,8,Pré-Pago,Inativo,30,8096,Não Cancelou
0,0,37,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
3,0,37,0,7508,127,384,43,Pré-Pago,Ativo,25,2071575,Não Cancelou
7,0,37,1,11465,154,11,47,Pré-Pago,Ativo,45,317975,Não Cancelou
8,0,37,1,6718,75,108,37,Pré-Pago,Ativo,25,791685,Não Cancelou
23,1,33,0,955,47,16,17,Pré-Pago,Inativo,25,11709,Cancelou
21,1,36,8,10435,93,1,42,Contrato,Ativo,55,15942,Não Cancelou
13,1,36,1,5818,98,26,24,Pré-Pago,Ativo,25,38322,Cancelou
1,0,34,0,2840,22,0,14,Pré-Pago,Ativo,30,11448,Não Cancelou
9,0,35,0,2990,41,9,16,Pré-Pago,Inativo,30,15724,Cancelou
9,1,36,0,2268,44,34,31,Pré-Pago,Inativo,30,22848,Cancelou
0,0,36,0,133,2,0,2,Pré-Pago,Inativo,30,54,Cancelou
1,0,36,0,1668,25,0,6,Pré-Pago,Ativo,30,6772,Não Cancelou
3,0,33,1,6785,97,14,22,Pré-Pago,Ativo,55,12423,Não Cancelou
0,1,36,0,628,7,9,4,Pré-Pago,Inativo,45,38375,Cancelou
0,0,36,1,338,4,4,2,Pré-Pago,Ativo,55,1113,Não Cancelou
25,0,31,3,16075,238,0,80,Contrato,Ativo,25,734085,Não Cancelou
6,0,34,3,6965,116,271,33,Contrato,Ativo,25,1538145,Não Cancelou
2,0,36,0,3718,82,2,28,Pré-Pago,Ativo,25,180,Não Cancelou
3,0,35,0,1665,44,38,20,Pré-Pago,Inativo,30,22036,Não Cancelou
6,0,36,0,2780,53,175,23,Pré-Pago,Ativo,25,914985,Não Cancelou
4,0,27,1,1315,36,193,11,Contrato,Ativo,25,929295,Não Cancelou
4,0,26,0,1568,39,30,68,Pré-Pago,Ativo,45,115175,Não Cancelou
11,0,27,0,700,25,10,7,Pré-Pago,Inativo,25,77625,Não Cancelou
0,0,26,0,825,10,21,3,Pré-Pago,Inativo,45,73375,Cancelou
10,0,25,0,1225,32,19,13,Pré-Pago,Ativo,25,142065,Não Cancelou
2,0,25,0,3225,61,8,23,Pré-Pago,Ativo,30,16344,Não Cancelou
2,0,18,0,1695,26,28,14,Pré-Pago,Ativo,25,203445,Não Cancelou
16,0,17,1,6393,141,85,42,Contrato,Ativo,25,67653,Não Cancelou
12,0,15,0,8933,171,73,40,Pré-Pago,Ativo,45,4101,Não Cancelou
8,0,16,3,2853,45,31,19,Contrato,Ativo,30,23992,Não Cancelou
